link,outlet,party,avg_sentence_sentiment_vader,sentence_count
https://indianexpress.com/article/opinion/editorials/express-view-on-new-delhi-cm-rekha-gupta-has-her-task-cut-out-9847415/,IndianExpress,AAP,0.9153,1
https://indianexpress.com/article/opinion/editorials/express-view-on-new-delhi-cm-rekha-gupta-has-her-task-cut-out-9847415/,IndianExpress,Congress,0.9153,1
https://indianexpress.com/article/opinion/editorials/delhi-election-results-aam-aadmi-message-9825163/,IndianExpress,BJP,0.9729,1
https://indianexpress.com/article/opinion/editorials/delhi-election-results-aam-aadmi-message-9825163/,IndianExpress,AAP,0.9729,1
https://indianexpress.com/article/opinion/editorials/express-view-on-assembly-poll-in-capital-the-idea-of-delhi-9819949/,IndianExpress,BJP,0.9741,1
https://indianexpress.com/article/opinion/editorials/express-view-on-assembly-poll-in-capital-the-idea-of-delhi-9819949/,IndianExpress,AAP,0.9741,1
https://indianexpress.com/article/opinion/editorials/express-view-on-assembly-poll-in-capital-the-idea-of-delhi-9819949/,IndianExpress,Congress,0.9741,1
https://indianexpress.com/article/opinion/editorials/express-view-on-india-and-trump-2-0-delhis-challenges-9792018/,IndianExpress,BJP,0.9818,1
https://indianexpress.com/article/opinion/editorials/express-view-on-india-bloc-a-crumbling-foretold-9772313/,IndianExpress,BJP,0.2782,1
https://indianexpress.com/article/opinion/editorials/express-view-on-india-bloc-a-crumbling-foretold-9772313/,IndianExpress,AAP,0.2782,1
https://indianexpress.com/article/opinion/editorials/express-view-on-india-bloc-a-crumbling-foretold-9772313/,IndianExpress,Congress,0.2782,1
https://indianexpress.com/article/opinion/editorials/express-view-on-delhi-elections-local-is-national-9767862/,IndianExpress,BJP,0.9826,1
https://indianexpress.com/article/opinion/editorials/express-view-on-delhi-elections-local-is-national-9767862/,IndianExpress,AAP,0.9826,1
https://indianexpress.com/article/opinion/editorials/express-view-on-delhi-elections-local-is-national-9767862/,IndianExpress,Congress,0.9826,1
https://indianexpress.com/article/opinion/columns/bjps-win-in-delhi-has-lessons-for-aap-9847455/,IndianExpress,BJP,0.9979,1
https://indianexpress.com/article/opinion/columns/bjps-win-in-delhi-has-lessons-for-aap-9847455/,IndianExpress,AAP,0.9979,1
https://indianexpress.com/article/opinion/columns/bjps-win-in-delhi-has-lessons-for-aap-9847455/,IndianExpress,Congress,0.9979,1
https://indianexpress.com/article/opinion/columns/from-freebies-to-empowerment-new-bjp-government-will-have-to-tackle-delhis-welfare-dilemma-9847413/,IndianExpress,BJP,0.9958,1
https://indianexpress.com/article/opinion/columns/from-freebies-to-empowerment-new-bjp-government-will-have-to-tackle-delhis-welfare-dilemma-9847413/,IndianExpress,AAP,0.9958,1
https://indianexpress.com/article/opinion/columns/rekha-gupta-bjp-choice-delhi-chief-minister-9845979/,IndianExpress,BJP,0.9952,1
https://indianexpress.com/article/opinion/columns/rekha-gupta-bjp-choice-delhi-chief-minister-9845979/,IndianExpress,AAP,0.9952,1
https://indianexpress.com/article/opinion/columns/rekha-gupta-bjp-choice-delhi-chief-minister-9845979/,IndianExpress,Congress,0.9952,1
https://indianexpress.com/article/opinion/columns/pratap-bhanu-mehta-writes-bjps-delhi-challenge-and-the-capitals-future-9845309/,IndianExpress,BJP,0.9924,1
https://indianexpress.com/article/opinion/columns/pratap-bhanu-mehta-writes-bjps-delhi-challenge-and-the-capitals-future-9845309/,IndianExpress,AAP,0.9924,1
https://indianexpress.com/article/opinion/columns/pratap-bhanu-mehta-writes-bjps-delhi-challenge-and-the-capitals-future-9845309/,IndianExpress,Congress,0.9924,1
https://indianexpress.com/article/opinion/columns/after-delhi-election-lesson-all-parties-listen-to-ground-9844496/,IndianExpress,BJP,0.9955,1
https://indianexpress.com/article/opinion/columns/after-delhi-election-lesson-all-parties-listen-to-ground-9844496/,IndianExpress,AAP,0.9955,1
https://indianexpress.com/article/opinion/columns/after-delhi-election-lesson-all-parties-listen-to-ground-9844496/,IndianExpress,Congress,0.9955,1
https://indianexpress.com/article/opinion/columns/delhi-double-engine-sarkar-water-litmus-test-9851870/,IndianExpress,BJP,-0.9767,1
https://indianexpress.com/article/opinion/columns/delhi-double-engine-sarkar-water-litmus-test-9851870/,IndianExpress,AAP,-0.9767,1
https://indianexpress.com/article/opinion/columns/rekha-gupta-elevation-as-delhi-cm-larger-question-about-womens-space-in-politics-9850265/,IndianExpress,Congress,0.8217,1
https://indianexpress.com/article/opinion/columns/aap-delhi-sad-congress-punjab-9834636/,IndianExpress,BJP,0.9963,1
https://indianexpress.com/article/opinion/columns/aap-delhi-sad-congress-punjab-9834636/,IndianExpress,AAP,0.9963,1
https://indianexpress.com/article/opinion/columns/aap-delhi-sad-congress-punjab-9834636/,IndianExpress,Congress,0.9963,1
https://indianexpress.com/article/opinion/columns/bjp-delhi-aap-assembly-polls-9831404/,IndianExpress,BJP,0.9918,1
https://indianexpress.com/article/opinion/columns/bjp-delhi-aap-assembly-polls-9831404/,IndianExpress,AAP,0.9918,1
https://indianexpress.com/article/opinion/columns/what-aap-didnt-get-delhi-looks-for-results-9827062/,IndianExpress,BJP,0.9687,1
https://indianexpress.com/article/opinion/columns/what-aap-didnt-get-delhi-looks-for-results-9827062/,IndianExpress,AAP,0.9687,1
https://indianexpress.com/article/opinion/columns/what-aap-didnt-get-delhi-looks-for-results-9827062/,IndianExpress,Congress,0.9687,1
https://indianexpress.com/article/opinion/columns/aap-delhi-loss-governance-model-full-circle-9825281/,IndianExpress,AAP,-0.1531,1
https://indianexpress.com/article/opinion/columns/aap-delhi-loss-governance-model-full-circle-9825281/,IndianExpress,Congress,-0.1531,1
https://indianexpress.com/article/opinion/columns/assembly-elections-bjp-aap-2025-results-9825216/,IndianExpress,BJP,0.9969,1
